Hisse    Temettü Tar  Verim   T-7       T-6       T-5       T-4       T-3       T-2       T-1       T_Günü    T+1       T+2       T+3       T+4       T+5       T+6       T+7      
EYGYO    2024-09-30   %0.77  +2.63%    -0.37%    -1.96%    -4.24%    -1.56%    +0.13%    +2.12%    -0.39%    -2.47%    -0.93%    +0.00%    +4.98%    -0.90%    -1.16%    -2.88%   
BUCIM    2024-09-30   %0.80  +1.87%    +0.13%    -0.13%    +0.13%    -1.44%    -0.66%    -0.13%    -3.88%    -4.17%    -2.61%    -1.19%    +1.81%    -1.19%    -0.90%    +1.21%   
AYEN     2024-09-30   %1.80  +0.60%    -0.46%    +1.59%    -0.72%    +2.56%    -2.56%    +1.18%    -2.93%    -4.49%    -4.77%    -2.14%    +1.66%    -0.44%    -0.59%    +1.42%   
SOKM     2024-10-01   %1.57  -0.22%    -0.78%    +0.70%    +0.87%    +0.52%    +3.64%    -0.25%    -1.99%    -0.80%    -4.52%    +1.83%    -0.26%    +0.22%    -1.58%    +2.36%   
ESCAR    2024-10-01   %0.29  +0.19%    -5.12%    -4.58%    +0.07%    +3.00%    -2.92%    +1.43%    -4.09%    -2.50%    -0.30%    +0.76%    +1.05%    +7.36%    -3.11%    +0.07%   
MACKO    2024-10-02   %2.11  -1.93%    -1.72%    -0.62%    -0.69%    -0.89%    +0.06%    -2.17%    -8.62%    +0.21%    +2.49%    +0.83%    -1.79%    +0.56%    -0.21%    -1.33%   
BIMAS    2024-10-02   %0.75  +2.63%    -0.77%    -3.45%    -3.93%    -7.52%    -0.35%    -2.57%    -3.62%    +2.47%    +0.73%    -3.85%    +4.54%    +0.31%    -4.28%    +0.38%   
GOLTS    2024-10-03   %2.52  -2.43%    +0.00%    -0.68%    +1.83%    -3.42%    -3.54%    -4.39%    -4.85%    -0.13%    -0.40%    -1.46%    +1.21%    -1.80%    -1.63%    -4.55%   
BOBET    2024-10-07   %1.72  -0.77%    +3.78%    -2.05%    -4.86%    -2.40%    -2.15%    +2.94%    +2.14%    -3.29%    +1.86%    +0.56%    -1.86%    -3.13%    +3.76%    +5.61%   
SUNTK    2024-10-07   %2.10  +0.86%    +0.69%    +0.79%    -1.99%    -0.21%    -0.64%    -0.32%    -1.57%    +6.75%    -2.21%    +1.26%    +6.49%    -0.10%    -0.98%    -2.61%   
GENIL    2024-10-08   %0.40  -0.49%    -0.61%    -5.21%    +0.18%    +0.76%    -2.43%    -0.42%    +3.58%    +2.70%    +0.11%    +3.25%    -2.44%    +0.00%    +0.22%    +0.00%   
GOKNR    2024-10-15   %1.16  +3.69%    -1.26%    -1.04%    +0.32%    -0.56%    -1.78%    -4.21%    +3.79%    +1.33%    +3.61%    -2.37%    -2.59%    +3.49%    -1.29%    +0.98%   
